strain_entity_id,outer_fold,control_type,seed,replicate,cosine_TRUE_control,embedding_displacement,l2_distance,fold_matched_lineage95_encoder,phenotype_labels_used,encoder_retrained,encoder_finetuned
STRAIN_000661,1,LOCAL_W10,442,5,0.9304122924804688,0.06958770751953125,0.3730621039867401,True,False,False,False
STRAIN_000664,1,LOCAL_W10,42,1,0.9197931289672852,0.08020687103271484,0.40051692724227905,True,False,False,False
STRAIN_000664,1,LOCAL_W10,142,2,0.943303108215332,0.05669689178466797,0.3367399573326111,True,False,False,False
STRAIN_000664,1,LOCAL_W10,242,3,0.9319379925727844,0.06806200742721558,0.3689497709274292,True,False,False,False
STRAIN_000664,1,LOCAL_W10,342,4,0.93553626537323,0.06446373462677002,0.35906466841697693,True,False,False,False
STRAIN_000664,1,LOCAL_W10,442,5,0.9315952062606812,0.06840479373931885,0.3698778450489044,True,False,False,False
STRAIN_000667,1,LOCAL_W10,42,1,0.9240686297416687,0.0759313702583313,0.3896956145763397,True,False,False,False
STRAIN_000667,1,LOCAL_W10,142,2,0.9267746210098267,0.07322537899017334,0.382688969373703,True,False,False,False
STRAIN_000667,1,LOCAL_W10,242,3,0.9192981123924255,0.08070188760757446,0.40175074338912964,True,False,False,False
STRAIN_000667,1,LOCAL_W10,342,4,0.9160001277923584,0.0839998722076416,0.4098775386810303,True,False,False,False
STRAIN_000667,1,LOCAL_W10,442,5,0.9210411310195923,0.07895886898040771,0.3973885476589203,True,False,False,False
STRAIN_000669,1,LOCAL_W10,42,1,0.9340994358062744,0.06590056419372559,0.3630443215370178,True,False,False,False
STRAIN_000669,1,LOCAL_W10,142,2,0.9266650676727295,0.07333493232727051,0.382974773645401,True,False,False,False
STRAIN_000669,1,LOCAL_W10,242,3,0.9214683771133423,0.07853162288665771,0.39631205797195435,True,False,False,False
STRAIN_000669,1,LOCAL_W10,342,4,0.9303338527679443,0.06966614723205566,0.3732722997665405,True,False,False,False
STRAIN_000669,1,LOCAL_W10,442,5,0.9369227886199951,0.06307721138000488,0.3551822900772095,True,False,False,False
STRAIN_000674,1,LOCAL_W10,42,1,0.9337121844291687,0.0662878155708313,0.364109605550766,True,False,False,False
STRAIN_000674,1,LOCAL_W10,142,2,0.9249649047851562,0.07503509521484375,0.3873889744281769,True,False,False,False
STRAIN_000674,1,LOCAL_W10,242,3,0.9394079446792603,0.060592055320739746,0.3481151759624481,True,False,False,False
STRAIN_000674,1,LOCAL_W10,342,4,0.9262402057647705,0.07375979423522949,0.38408294320106506,True,False,False,False
STRAIN_000674,1,LOCAL_W10,442,5,0.9336726665496826,0.06632733345031738,0.3642176687717438,True,False,False,False
STRAIN_000675,1,LOCAL_W10,42,1,0.9437471628189087,0.05625283718109131,0.33541855216026306,True,False,False,False
STRAIN_000675,1,LOCAL_W10,142,2,0.9292097091674805,0.07079029083251953,0.3762716054916382,True,False,False,False
STRAIN_000675,1,LOCAL_W10,242,3,0.9339619874954224,0.06603801250457764,0.363422691822052,True,False,False,False
STRAIN_000675,1,LOCAL_W10,342,4,0.9320691227912903,0.06793087720870972,0.368594229221344,True,False,False,False
STRAIN_000675,1,LOCAL_W10,442,5,0.929690957069397,0.07030904293060303,0.3749907314777374,True,False,False,False
STRAIN_000682,1,LOCAL_W10,42,1,0.9286614656448364,0.07133853435516357,0.3777262270450592,True,False,False,False
STRAIN_000682,1,LOCAL_W10,142,2,0.9197221994400024,0.08027780055999756,0.40069374442100525,True,False,False,False
STRAIN_000682,1,LOCAL_W10,242,3,0.9443327188491821,0.05566728115081787,0.3336683213710785,True,False,False,False
STRAIN_000682,1,LOCAL_W10,342,4,0.935135006904602,0.06486499309539795,0.36018049716949463,True,False,False,False
STRAIN_000682,1,LOCAL_W10,442,5,0.9388085007667542,0.06119149923324585,0.34983259439468384,True,False,False,False
STRAIN_000683,1,LOCAL_W10,42,1,0.9122655987739563,0.0877344012260437,0.41888973116874695,True,False,False,False
STRAIN_000683,1,LOCAL_W10,142,2,0.9251934885978699,0.07480651140213013,0.3867982029914856,True,False,False,False
STRAIN_000683,1,LOCAL_W10,242,3,0.9248369336128235,0.07516306638717651,0.38771918416023254,True,False,False,False
STRAIN_000683,1,LOCAL_W10,342,4,0.9217013120651245,0.07829868793487549,0.3957238495349884,True,False,False,False
STRAIN_000683,1,LOCAL_W10,442,5,0.9190874099731445,0.08091259002685547,0.40227484703063965,True,False,False,False
STRAIN_000685,1,LOCAL_W10,42,1,0.9246083498001099,0.07539165019989014,0.38830825686454773,True,False,False,False
STRAIN_000685,1,LOCAL_W10,142,2,0.9324110746383667,0.0675889253616333,0.367665559053421,True,False,False,False
STRAIN_000685,1,LOCAL_W10,242,3,0.9294689893722534,0.07053101062774658,0.37558236718177795,True,False,False,False
STRAIN_000685,1,LOCAL_W10,342,4,0.9254649877548218,0.07453501224517822,0.3860958218574524,True,False,False,False
STRAIN_000685,1,LOCAL_W10,442,5,0.9262228012084961,0.0737771987915039,0.384128212928772,True,False,False,False
STRAIN_000690,1,LOCAL_W10,42,1,0.9214668869972229,0.0785331130027771,0.39631590247154236,True,False,False,False
STRAIN_000690,1,LOCAL_W10,142,2,0.9326534867286682,0.06734651327133179,0.3670053780078888,True,False,False,False
STRAIN_000690,1,LOCAL_W10,242,3,0.9425039887428284,0.05749601125717163,0.3391047418117523,True,False,False,False
STRAIN_000690,1,LOCAL_W10,342,4,0.9298567771911621,0.07014322280883789,0.37454840540885925,True,False,False,False
STRAIN_000690,1,LOCAL_W10,442,5,0.9403343200683594,0.059665679931640625,0.3454436957836151,True,False,False,False
STRAIN_000691,1,LOCAL_W10,42,1,0.9334177374839783,0.06658226251602173,0.36491715908050537,True,False,False,False
STRAIN_000691,1,LOCAL_W10,142,2,0.9322335720062256,0.06776642799377441,0.3681478798389435,True,False,False,False
STRAIN_000691,1,LOCAL_W10,242,3,0.9407209753990173,0.059279024600982666,0.3443226218223572,True,False,False,False
STRAIN_000691,1,LOCAL_W10,342,4,0.9408129453659058,0.05918705463409424,0.34405502676963806,True,False,False,False
STRAIN_000691,1,LOCAL_W10,442,5,0.924647867679596,0.07535213232040405,0.38820645213127136,True,False,False,False
STRAIN_000694,1,LOCAL_W10,42,1,0.9229620695114136,0.07703793048858643,0.39252492785453796,True,False,False,False
