strain_entity_id,outer_fold,control_type,seed,replicate,cosine_TRUE_control,embedding_displacement,l2_distance,fold_matched_lineage95_encoder,phenotype_labels_used,encoder_retrained,encoder_finetuned
STRAIN_000495,5,TIGHTBLOCK50,442,5,0.9867189526557922,0.013281047344207764,0.16297869384288788,True,False,False,False
STRAIN_000499,5,TIGHTBLOCK50,42,1,0.9906335473060608,0.009366452693939209,0.13686789572238922,True,False,False,False
STRAIN_000499,5,TIGHTBLOCK50,142,2,0.9895951747894287,0.010404825210571289,0.1442556083202362,True,False,False,False
STRAIN_000499,5,TIGHTBLOCK50,242,3,0.9889699220657349,0.011030077934265137,0.14852605760097504,True,False,False,False
STRAIN_000499,5,TIGHTBLOCK50,342,4,0.991112470626831,0.008887529373168945,0.1333233118057251,True,False,False,False
STRAIN_000499,5,TIGHTBLOCK50,442,5,0.9911919832229614,0.008808016777038574,0.13272500038146973,True,False,False,False
STRAIN_000502,5,TIGHTBLOCK50,42,1,0.9913138747215271,0.0086861252784729,0.13180392980575562,True,False,False,False
STRAIN_000502,5,TIGHTBLOCK50,142,2,0.9934443235397339,0.006555676460266113,0.11450450122356415,True,False,False,False
STRAIN_000502,5,TIGHTBLOCK50,242,3,0.9935669898986816,0.006433010101318359,0.11342839896678925,True,False,False,False
STRAIN_000502,5,TIGHTBLOCK50,342,4,0.9928706884384155,0.007129311561584473,0.1194094642996788,True,False,False,False
STRAIN_000502,5,TIGHTBLOCK50,442,5,0.9915700554847717,0.008429944515228271,0.1298457384109497,True,False,False,False
STRAIN_000505,5,TIGHTBLOCK50,42,1,0.9873273372650146,0.012672662734985352,0.15920288860797882,True,False,False,False
STRAIN_000505,5,TIGHTBLOCK50,142,2,0.9887820482254028,0.011217951774597168,0.14978596568107605,True,False,False,False
STRAIN_000505,5,TIGHTBLOCK50,242,3,0.9872788190841675,0.01272118091583252,0.15950681269168854,True,False,False,False
STRAIN_000505,5,TIGHTBLOCK50,342,4,0.9862361550331116,0.013763844966888428,0.1659146398305893,True,False,False,False
STRAIN_000505,5,TIGHTBLOCK50,442,5,0.9887663722038269,0.011233627796173096,0.14989076554775238,True,False,False,False
STRAIN_000515,5,TIGHTBLOCK50,42,1,0.9922015070915222,0.007798492908477783,0.12488742172718048,True,False,False,False
STRAIN_000515,5,TIGHTBLOCK50,142,2,0.9884040355682373,0.011595964431762695,0.15228885412216187,True,False,False,False
STRAIN_000515,5,TIGHTBLOCK50,242,3,0.9918719530105591,0.008128046989440918,0.12749908864498138,True,False,False,False
STRAIN_000515,5,TIGHTBLOCK50,342,4,0.9890265464782715,0.010973453521728516,0.14814476668834686,True,False,False,False
STRAIN_000515,5,TIGHTBLOCK50,442,5,0.9901328086853027,0.009867191314697266,0.14047935605049133,True,False,False,False
STRAIN_000517,5,TIGHTBLOCK50,42,1,0.9941971898078918,0.005802810192108154,0.1077292189002037,True,False,False,False
STRAIN_000517,5,TIGHTBLOCK50,142,2,0.990971565246582,0.009028434753417969,0.13437573611736298,True,False,False,False
STRAIN_000517,5,TIGHTBLOCK50,242,3,0.9930405020713806,0.006959497928619385,0.11797899752855301,True,False,False,False
STRAIN_000517,5,TIGHTBLOCK50,342,4,0.9935756921768188,0.006424307823181152,0.11335116624832153,True,False,False,False
STRAIN_000517,5,TIGHTBLOCK50,442,5,0.9926024079322815,0.007397592067718506,0.12163528054952621,True,False,False,False
STRAIN_000518,5,TIGHTBLOCK50,42,1,0.989740788936615,0.01025921106338501,0.14324279129505157,True,False,False,False
STRAIN_000518,5,TIGHTBLOCK50,142,2,0.9935584664344788,0.00644153356552124,0.1135036051273346,True,False,False,False
STRAIN_000518,5,TIGHTBLOCK50,242,3,0.9877514839172363,0.012248516082763672,0.15651537477970123,True,False,False,False
STRAIN_000518,5,TIGHTBLOCK50,342,4,0.9903811812400818,0.009618818759918213,0.13870054483413696,True,False,False,False
STRAIN_000518,5,TIGHTBLOCK50,442,5,0.9884241819381714,0.011575818061828613,0.15215705335140228,True,False,False,False
STRAIN_000519,5,TIGHTBLOCK50,42,1,0.986469030380249,0.013530969619750977,0.164505273103714,True,False,False,False
STRAIN_000519,5,TIGHTBLOCK50,142,2,0.992884635925293,0.007115364074707031,0.11929316818714142,True,False,False,False
STRAIN_000519,5,TIGHTBLOCK50,242,3,0.9897861480712891,0.010213851928710938,0.14292563498020172,True,False,False,False
STRAIN_000519,5,TIGHTBLOCK50,342,4,0.9809703826904297,0.019029617309570312,0.19508753716945648,True,False,False,False
STRAIN_000519,5,TIGHTBLOCK50,442,5,0.9943945407867432,0.005605459213256836,0.10588229447603226,True,False,False,False
STRAIN_000538,5,TIGHTBLOCK50,42,1,0.9925518035888672,0.0074481964111328125,0.12205031514167786,True,False,False,False
STRAIN_000538,5,TIGHTBLOCK50,142,2,0.991008996963501,0.008991003036499023,0.13409730792045593,True,False,False,False
STRAIN_000538,5,TIGHTBLOCK50,242,3,0.9898115396499634,0.010188460350036621,0.14274728298187256,True,False,False,False
STRAIN_000538,5,TIGHTBLOCK50,342,4,0.990472137928009,0.009527862071990967,0.13804231584072113,True,False,False,False
