door_accession,door_accession_key,door_assembly_number,door_version,door_prefix,genome_dir,feature_table_member,operon_member,has_operon_label_file
GCA_000021405.1,000021405.1,000021405,1,GCA,data/Borrelia_burgdorferi_ZS7,data/Borrelia_burgdorferi_ZS7/GCA_000021405.1_ASM2140v1_feature_table.txt,data/Borrelia_burgdorferi_ZS7/Borrelia_burgdorferi_ZS7_NC_011728_operon_classification_output.txt,True
GCA_000021425.1,000021425.1,000021425,1,GCA,data/Bifidobacterium_animalis_subsp._lactis_AD011,data/Bifidobacterium_animalis_subsp._lactis_AD011/GCA_000021425.1_ASM2142v1_feature_table.txt,data/Bifidobacterium_animalis_subsp._lactis_AD011/Bifidobacterium_animalis_subsp._lactis_AD011_NC_011835_operon_classification_output.txt,True
GCA_000021445.1,000021445.1,000021445,1,GCA,data/Bacillus_anthracis_str._CDC_684,data/Bacillus_anthracis_str._CDC_684/GCA_000021445.1_ASM2144v1_feature_table.txt,data/Bacillus_anthracis_str._CDC_684/Bacillus_anthracis_str._CDC_684_NC_012581_operon_classification_output.txt,True
GCA_000021465.1,000021465.1,000021465,1,GCA,data/Helicobacter_pylori_P12,data/Helicobacter_pylori_P12/GCA_000021465.1_ASM2146v1_feature_table.txt,data/Helicobacter_pylori_P12/Helicobacter_pylori_P12_NC_011498_operon_classification_output.txt,True
GCA_000021485.1,000021485.1,000021485,1,GCA,data/Acidithiobacillus_ferrooxidans_ATCC_23270,data/Acidithiobacillus_ferrooxidans_ATCC_23270/GCA_000021485.1_ASM2148v1_feature_table.txt,data/Acidithiobacillus_ferrooxidans_ATCC_23270/Acidithiobacillus_ferrooxidans_ATCC_23270_NC_011761_operon_classification_output.txt,True
GCA_000021505.1,000021505.1,000021505,1,GCA,data/Candidatus_Hodgkinia_cicadicola_Dsem,data/Candidatus_Hodgkinia_cicadicola_Dsem/GCA_000021505.1_ASM2150v1_feature_table.txt,data/Candidatus_Hodgkinia_cicadicola_Dsem/Candidatus_Hodgkinia_cicadicola_Dsem_NC_012960_operon_classification_output.txt,True
GCA_000021525.1,000021525.1,000021525,1,GCA,data/Rickettsia_peacockii_str._Rustic,data/Rickettsia_peacockii_str._Rustic/GCA_000021525.1_ASM2152v1_feature_table.txt,data/Rickettsia_peacockii_str._Rustic/Rickettsia_peacockii_str._Rustic_NC_012730_operon_classification_output.txt,True
GCA_000021545.1,000021545.1,000021545,1,GCA,data/Sulfurihydrogenibium_azorense_Az-Fu1,data/Sulfurihydrogenibium_azorense_Az-Fu1/GCA_000021545.1_ASM2154v1_feature_table.txt,data/Sulfurihydrogenibium_azorense_Az-Fu1/Sulfurihydrogenibium_azorense_Az-Fu1_NC_012438_operon_classification_output.txt,True
GCA_000021565.1,000021565.1,000021565,1,GCA,data/Persephonella_marina_EX-H1,data/Persephonella_marina_EX-H1/GCA_000021565.1_ASM2156v1_feature_table.txt,data/Persephonella_marina_EX-H1/Persephonella_marina_EX-H1_NC_012440_operon_classification_output.txt,True
GCA_000021605.1,000021605.1,000021605,1,GCA,data/Vibrio_cholerae_M66-2,data/Vibrio_cholerae_M66-2/GCA_000021605.1_ASM2160v1_feature_table.txt,data/Vibrio_cholerae_M66-2/Vibrio_cholerae_M66-2_NC_012578_operon_classification_output.txt,True
GCA_000021625.1,000021625.1,000021625,1,GCA,data/Vibrio_cholerae_O395,data/Vibrio_cholerae_O395/GCA_000021625.1_ASM2162v1_feature_table.txt,data/Vibrio_cholerae_O395/Vibrio_cholerae_O395_NC_012582_operon_classification_output.txt,True
GCA_000021645.1,000021645.1,000021645,1,GCA,data/Dictyoglomus_turgidum_DSM_6724,data/Dictyoglomus_turgidum_DSM_6724/GCA_000021645.1_ASM2164v1_feature_table.txt,data/Dictyoglomus_turgidum_DSM_6724/Dictyoglomus_turgidum_DSM_6724_NC_011661_operon_classification_output.txt,True
GCA_000021665.1,000021665.1,000021665,1,GCA,data/Shewanella_baltica_OS223,data/Shewanella_baltica_OS223/GCA_000021665.1_ASM2166v1_feature_table.txt,data/Shewanella_baltica_OS223/Shewanella_baltica_OS223_NC_011663_operon_classification_output.txt,True
GCA_000021685.1,000021685.1,000021685,1,GCA,data/Thermomicrobium_roseum_DSM_5159,data/Thermomicrobium_roseum_DSM_5159/GCA_000021685.1_ASM2168v1_feature_table.txt,data/Thermomicrobium_roseum_DSM_5159/Thermomicrobium_roseum_DSM_5159_NC_011959_operon_classification_output.txt,True
